	AU1	AU10Open	AU11	AU12	AU13	AU14	AU15	AU16Open	AU17	AU2	AU20	AU24	AU25	AU27i	AU4	AU43	AU5	AU6	AU7	AU9
id-1260_AU1-100_AU16Open-100_AU2-33	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.33333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
id-1260_AU10Open-100_AU5-66	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.66667	0.0	0.0	0.0
id-1260_AU11-66_AU14-66_AU43-33	0.0	0.0	0.66667	0.0	0.0	0.66667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33333	0.0	0.0	0.0	0.0
id-1260_AU12-100_AU4-66_AU43-66	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.66667	0.66667	0.0	0.0	0.0	0.0
id-1260_AU12-33	0.0	0.0	0.0	0.33333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
id-1260_AU12-66_AU17-33	0.0	0.0	0.0	0.66667	0.0	0.0	0.0	0.0	0.33333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
id-1260_AU12-66_AU20-100_AU22-66_AU43-66	0.0	0.0	0.0	0.66667	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.66667	0.0	0.0	0.0	0.0
id-1260_AU12-66_AU25-33	0.0	0.0	0.0	0.66667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33333	0.0	0.0	0.0	0.0	0.0	0.0	0.0
id-1260_AU13-33_AU4-66	0.0	0.0	0.0	0.0	0.33333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.66667	0.0	0.0	0.0	0.0	0.0
id-1260_AU13-66_AU4-100_AU5-33_AU9-100	0.0	0.0	0.0	0.0	0.66667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.33333	0.0	0.0	1.0
id-1260_AU14-100_AU17-33_AU2-66_AU27i-100	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.33333	0.66667	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
id-1260_AU14-33_AU20-33_AU25-33	0.0	0.0	0.0	0.0	0.0	0.33333	0.0	0.0	0.0	0.0	0.33333	0.0	0.33333	0.0	0.0	0.0	0.0	0.0	0.0	0.0
id-1260_AU17-33_AU24-100_AU6-33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33333	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.33333	0.0	0.0
id-1260_AU20-100_AU25-33_AU4-33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.33333	0.0	0.33333	0.0	0.0	0.0	0.0	0.0
