,rating_type,rating,rating_intensity
id-1291_AU10Open-66_AU15-33_AU20-100_AU4-100,emotion,Walging,0.632193526
id-1339_AU11-100_AU20-100_AU4-33,emotion,Boos,0.527061715
id-1376_AU16Open-100_AU43-66_AU5-33,emotion,Blij,0.241817269
id-1373_AU1-66,emotion,Verrassing,0.180454602
id-1293_AU1-33_AU22-33_AU27i-100,emotion,Verrassing,0.679253842
id-1341_AU1-33_AU15-33_AU2-66_AU4-33,emotion,Verdrietig,0.528393388
id-1361_AU16Open-33_AU24-66_AU25-100,emotion,Boos,0.368710413
id-1290_AU22-33,emotion,Geen van allen,0
id-1311_AU16Open-100_AU43-100_AU6-66_AU9-100,emotion,Boos,0.658630926
id-1310_AU13-66_AU14-100_AU4-66_AU9-33,emotion,Verdrietig,0.533831083
id-1380_AU10Open-33_AU13-33_AU16Open-100_AU22-33_AU43-66,emotion,Blij,0.454755208
id-1323_AU22-33_AU5-100_AU9-66,emotion,Boos,0.242407386
id-1270_AU26-100,emotion,Verrassing,0.599228307
id-1294_AU16Open-100_AU20-33_AU43-33,emotion,Blij,0.374387597
id-1307_AU17-66_AU2-100_AU7-66,emotion,Verrassing,0.286782731
id-1274_AU10Open-66_AU2-33_AU43-100_AU9-66,emotion,Boos,0.918599982
id-1285_AU26-33_AU5-100,emotion,Verrassing,0.876302943
id-1367_AU17-66,emotion,Geen van allen,0
id-1297_AU1-66_AU11-66,emotion,Walging,0.100923292
id-1339_AU22-33_AU25-100_AU27i-100_AU4-66,emotion,Blij,0.805764387
id-1274_AU14-33_AU6-33,emotion,Blij,0.074967613
id-1269_AU15-66_AU16Open-66_AU26-33_AU27i-100,emotion,Verrassing,0.732205776
id-1293_AU1-100_AU12-33_AU13-33_AU22-100,emotion,Blij,0.477126144
id-1279_AU12-100,emotion,Blij,0.859730472
id-1355_AU13-66_AU14-100_AU15-100_AU7-33,emotion,Verdrietig,0.64297266
id-1302_AU1-100_AU11-66_AU13-33_AU24-33,emotion,Verdrietig,0.76912517
id-1318_AU24-33,emotion,Verdrietig,0.024739807
id-1360_AU16Open-33_AU20-66,emotion,Bang,0.190965647
id-1269_AU11-100_AU25-33_AU43-66,emotion,Boos,0.416626909
id-1270_AU10Open-33_AU16Open-33_AU22-100_AU7-66,emotion,Walging,0.582188299
id-1289_AU10Open-33_AU2-66_AU24-66,emotion,Boos,0.615505527
id-1367_AU11-100_AU16Open-66_AU25-100,emotion,Boos,0.709235273
id-1295_AU24-100_AU25-100,emotion,Bang,0.424568364
id-1294_AU11-66_AU43-33_AU5-33,emotion,Blij,0.068816219
id-1360_AU12-100_AU43-66_AU7-33,emotion,Blij,0.391891895
id-1273_AU1-33_AU13-33_AU26-33,emotion,Blij,0.485163198
id-1279_AU1-33_AU14-33_AU26-33,emotion,Blij,0.406194588
id-1354_AU14-66_AU7-100,emotion,Verdrietig,0.134183125
id-1378_AU1-66_AU20-66_AU7-33,emotion,Bang,0.24781402
